OperatorName,year,num_disclosures,total_water_consump
"Chaparral Energy, LLC",2014,45,258890110.0
"Discovery Operating, Inc.",2019,17,258428591.0
"PetroLegacy Energy II, LLC",2022,12,256447168.0
"CPRP Services, LLC",2022,11,253875047.0
Kaiser-Francis Oil Company,2022,16,252043530.0
"RSP Permian, LLC",2018,32,244779758.80266193
Henry Resources LLC,2013,36,243022330.0
"chisholm Oil and Gas Operating, LLC",2018,20,234807237.0
"Permian Deep Rock Oil Co., LLC",2019,13,234227314.0
Crescent Point Energy US Corp,2019,68,232207003.0
"Calyx Energy III, LLC",2020,16,230836267.0006346
"EnerVest, Ltd.",2013,112,228096509.9
"Tug Hill Operating, LLC",2019,12,224409902.0
"Kimmeridge Texas Gas, LLC",2024,11,221615942.0
Blackbeard Operating,2025,145,220001208.0
Bill Barrett Corp,2013,59,214238307.0
"Middle Fork Energy Parterns, LLC",2022,25,212716284.362
Approach Resources,2015,22,209733254.0
"Grayson Mill Operating, LLC",2024,19,208362054.0
Hilcorp Energy Company,2022,80,207729187.1
Roan Resources LLC,2019,12,202397006.0
Synergy Resources Corporation,2012,39,202022709.0
"Rice Drilling B, LLC",2016,11,196411167.0
"TEP Barnett USA, LLC",2026,20,195138658.0
"Linn Energy, LLC",2012,62,193946221.28
Ensign Operating LLC,2019,13,190383648.0
"Lime Rock Resources, LP",2022,26,187965530.0
"Paloma Operating Co, Inc",2019,12,186950168.0
HighPoint Operating Corporation,2019,13,176634756.3257389
"FourPoint Energy, LLC",2022,13,176154300.0
"Titus Oil & Gas Production, LLC",2019,11,174203694.0
Talisman Energy USA Inc.,2013,35,170011042.0
"Grit Oil and Gas Management, LLC",2025,24,167582132.0000794
Cheyenne Petroleum Company,2022,15,164978815.0
BKV Corporation,2026,23,163342272.0
Enduring Resources LLC,2024,18,159662902.0
Ultra Resources,2013,94,159443602.128
Mach Resources,2022,35,159316730.0
Ovintiv Mid-Continent Inc.,2022,20,157480366.0
FourPoint Energy,2015,22,156589648.0
Ursa Operating Company LLC,2014,27,156167131.7589
"SN Operating, LLC",2018,19,154709226.0
"Rosehill Operating Company, LLC",2017,12,152438051.0
"Goodrich Petroleum Company, LLC",2013,12,151946371.0
RKI Exploration & Production,2013,26,150573000.0
Valence Operating Company,2025,16,147871573.0
American Energy Permian Basin,2015,12,146726808.0
Pennsylvania General Energy,2010,19,146216481.0
Rex Energy,2016,16,145839593.6
Texas American Resources Company,2017,14,144669962.0
Legacy Reserves Operating LP,2014,21,143218618.0
Sanchez Oil & Gas Corporation,2014,27,141688925.0
Jones Energy llc,2013,32,141479194.0
"Tanos Exploration II, LLC",2017,23,139688386.0
Statoil Texas Onshore Properties LLC,2017,18,139627241.0
Resolute Natural Resources,2013,16,139525024.0
Spur Energy Partners,2023,12,136619706.0
Unit Petroleum,2014,38,136477234.0
"Samson Exploration, LLC",2019,14,134217240.0
"Zavanna, LLC",2019,15,133759372.0
Escondido Resources Oper Co,2019,11,130584443.0
"Longfellow Energy, LP",2013,15,130542691.0
Midstates Petroleum Company,2014,41,125160264.0
"Hinkle Oil & Gas, Inc.",2015,21,121098098.0
PetroQuest Energy LLC,2014,19,120609607.0
LeNorman Operating LLC,2017,35,120574248.0
Halcon Resources Corporation,2013,20,119309020.0
Tapstone Energy,2014,15,111911353.0
Sundance Energy,2013,17,107145581.0
Sabine Oil & Gas LLC,2014,14,102114600.0
"Swift Energy Operating, LLC",2014,17,97638856.0
"Laramie Energy, LLC",2018,27,97572052.009
Kodiak Oil & Gas Corp,2013,29,96880424.0
"Elevation Resources, LLC",2024,13,96011854.0
"G3 Operating, LLC.",2013,16,92529778.0
Vantage Fort Worth Energy LLC,2015,13,92529580.0
"BlackBrush O & G, LLC",2015,12,89808240.0
Athlon Energy Operating LLC,2014,42,86596196.11812356
"Clayton Williams Energy, Inc.",2014,25,81294103.0
