OperatorName,num_disclosures,year,avg_water_consum
BlackRidge Resource Partners,1,2022,623112.0
"BlackWell Exp & Development, LLC",1,2018,2152804.0
Blackbeard Operating,145,2025,1517249.7103448275
"Blake Production Company, Inc.",2,2022,5808401.0
"Blakenergy Operating, LLC",1,2020,10290.0
Blue Cedar Energy,1,2022,42035.0
Blue Devil Exploration LLC,1,2018,15577831.0
"Blue Dolphin Production, LLC",3,2017,258176.66666666666
"Blue Dome Operating, LLC",3,2021,28075880.0
"Blue Quail , LTD",1,2014,20622.0
"Blue Water TPX Operating Co., LLC",1,2018,8816.0
BlueStem Energy,4,2014,1385080.5
BlueStone Natural Resources,3,2014,4859296.666666667
Bluefin Resources LLC,7,2018,116638.28571428571
Bluescape Resources,1,2012,5215770.0
"Boaz Energy II Operating, LLC",3,2016,169288.0
"Bold Operating, LLC",3,2014,15141924.0
"Bonanza Creek Energy, Inc.",77,2014,9256856.103896104
Borderline Operating Corp,1,2012,549108.0
Bowline Energy LLC,1,2022,7228788.0
"Boyd & McWilliams Operating, LLC",8,2019,5845420.125
Brahman Resource Partners LLC,1,2018,6587384.0
"Brammer Engineering, Inc.",3,2019,30375101.0
Bravo Arkoma LLC,9,2017,10594752.311111111
BreitBurn,20,2018,727606.3150000001
BreitBurn Operating LP,2,2021,51483.5
Bridon Energy LLC,1,2015,7224.0
Bridwell Oil Company,11,2016,25738.363636363636
Brigadier Operating LLC,9,2014,564297.4444444445
"Brigham Resources Operating, LLC",2,2016,24257711.225
Broad Oak Energy II LLC,3,2016,21181955.0
Broad Oak Energy II llc,2,2018,15549735.0
Brown Oil & Gas,1,2018,13490.0
"Browning Oil Company, Inc.",3,2021,11650027.0
"Bruin E&P Operating, LLC",4,2019,9090784.0
Bryan Henderson Co,1,2019,33382.0
"Buffco Production,Inc",6,2022,11463329.666666666
"Bullet Development, LLC",1,2014,16968.0
"Burk Royalty Co., LTD.",1,2025,4937730.0
"Burleson Petroleum, Inc. ",1,2022,202153.0
"Burnett Oil Co., Inc.",14,2025,789179.3571428572
"Butkin Oil Company, LLC",1,2014,24348.0
"Butler Petroleum, LLC",1,2014,4116.0
"C. E. Harmon Oil, Inc.",7,2015,33585.142857142855
"CBL Resources, LLC",1,2014,50248.0
CBP Operating LLC,3,2019,83261.0
"CCRP Operating, Inc.",1,2018,16207105.0
CEP MID-CONTINENT LLC,2,2019,18333.0
CGS Operating,3,2021,8265516.0
CH4-Finley Operating LLC,2,2020,14307258.0
"CHISHOLM ENERGY OPERATING, LLC",1,2018,3339000.0
"CML Exploration, LLC",1,2013,130158.0
CNX Gas Company LLC,28,2020,15029701.92857143
COBRA OIL & GAS CORPORATION,14,2014,1176352.642857143
COG Operating LLC,324,2018,15492405.051449219
CONSOL Energy Inc.,49,2017,9033852.510204082
COTERRA ENERGY INC.,20,2022,21165672.15
CP Exploration,1,2014,272412.0
"CPRP Services, LLC",11,2022,23079549.727272727
"CPX Energy Operating, LLC",1,2020,11643747.0
"CRIMSON ENERGY PARTNERS IV, LLC",5,2022,19550472.8
Cabot Oil & Gas Corp,103,2015,11029374.253398057
Caerus Oil and Gas LLC,53,2020,7242682.48544151
"Caird Operating, LLC",2,2015,3006999.5
California Resources Corporation,3,2017,337724.3333333333
Callon Petroleum Operating Company,73,2021,14104370.424657535
"Calyx Energy III, LLC",16,2020,14427266.687539663
"Calyx Energy, LLC",6,2013,5544480.333333333
"Cambrian Management, Ltd",4,2014,561678.0
