OperatorName,num_disclosures
"Pennington Oil & Gas Interests, LLC",1
"Pedestal Oil Company, Inc.",1
"PayRock II, LLC",1
Paul Gillham Oil Company,1
"Parten Operating, Inc.",1
Paladin Petroleum III LLC,1
"PT Petroleum, LLC.",1
POCO Operating,1
"PHOENIX OIL & GAS, INC.",1
"PGP Operating, LLC",1
PETEX,1
PAK Energy LLC,1
"P.O.&G. Operating, LLC",1
Osage Exploration and Development,1
Opus Operating II LLC,1
Omimex Petroleum Inc.,1
Okland Oil Company,1
"Oak Prairie Operations, LLC",1
"Northfield Enterprises, Inc.",1
"North Plains Energy, LLC",1
"Newkumet Exploration, Inc.",1
"New Century Operating, LLC",1
"New Century Exploration, Inc.",1
"Navidad Operating Company, LLC",1
"Nadel and Gussman Permian, LLC",1
NGO Development Corporation,1
Mustang Holding LLC,1
Musgrove Energy Inc.,1
MorningStar Operating LLC,1
"Modern Exploration, Inc.",1
"Mineral Resources, Inc",1
Millennial Energy Partners,1
Midville Energy,1
Mid-States Operating Company,1
"Mesa Energy Partners, LLC",1
"Mercury Operating, LLC",1
Memorial Production Oper. :LLC,1
McCommons Oil Company,1
Matrix Petroleum LLC,1
"Mammoth Exploration, LLC",1
"Magpie Operating, Inc",1
"Magnum Producing, LP",1
Magnum Hunter Resources Corp,1
MENDELL FINISTERRE II LLC,1
"MDS Energy, Ltd",1
"MB Energy, LLC",1
"M. E. Operating and Services, Inc.",1
"Longs Peak Resources, LLC",1
Locin Oil Corporation,1
Little Thunder,1
Liberty Resources LLC,1
Lewis Operating Co.,1
"Lewis Oil Operations, LLC",1
Layline Petroleum,1
"Lakeshore Operating, LLC",1
"Lainco, Inc.",1
Lacrosse Exploration LLC,1
"LINCOLN VENTURES, LLC",1
LADD OIL & GAS CORPORATION,1
"Kirkpatrick Oil Company, Inc",1
Kirkpatrick Oil Company,1
Kentex Worland LLC,1
"Kenneth W. Cory, Ltd.",1
Kelly Cook Oil LLC,1
KWR Ventures,1
KGH Operating Company,1
"KA Energy Op Co., LLC",1
"K S OIL COMPANY, INC",1
Jimmy Chatham Oil & Gas,1
"JEC Operating, LLC",1
J-W Operating Company,1
"Iron Star Energy, LLC",1
INEOS USA Oil & Gas LLC,1
Huntley &amp; Huntley Energy Exploration,1
Hominy Consulting LLC,1
"Helis Oil & Gas Company, L.L.C.",1
Helios Operating LLC,1
Heights Energy Corporation,1
"Hannathon Petroleum II, LLC",1
"Halc?n Operating Co., Inc.",1
H.L. Brown Operating,1
"H&L Exploration Company, LLC",1
Gulf Pine Energy,1
Greg Hall Oil and Gas,1
Great Bear Petroleum Operating LLC,1
Great Bear Pantheon LLC,1
"Grand Operating, Inc.",1
Grand Mesa Operating Company,1
"GeoSurveys, Inc.",1
"Gary Permian, LLC",1
"Gaedeke Oil & Gas Operating, LLC",1
"G&F Oil, Inc.",1
"Fundare Resources Operating Company, LLC",1
Fox Northeastern Oil & Gas Corporation,1
Forty Acres Energy LLC,1
"Fortay, Inc.",1
"Fontainebleau Operating, LLC",1
Flat Creek Resources LLC,1
"First Ascent Operating, LLC",1
"Fidgets Energy, LLC",1
"Felty Drilling Co., Inc.",1
Felderhoff Production Co,1
Faulconer Energy,1
"Far West Development, LLC",1
"Fairway Resources Operating III, LLC",1
"FX ENERGY OPERATING, LLC",1
FHA Operating,1
Excalibur Reserouces,1
"ExTech Operating, LLC",1
"Epic Permian Operating, LLC",1
"EnergyQuest II, LLC",1
Energy Management Co.,1
Endurance Resources LLC,1
Endeavour Operating Corp,1
"EnCore Permian Operating, LLC",1
Emerald Oil LLC,1
"Ellis Exploration, Inc.",1
Elk River Resources,1
Elephant Oil and Gas,1
Eastok Energy Partners LLC,1
Eagle Road Oil LLC,1
ENTERPRISE ENERGY EXPLORATION INC.,1
EE3 LLC,1
"EDF Trading Resources, LLC",1
"E.G.L. Resources, Inc.",1
"Dunamis Energy Operating, LLC",1
"Dry Fork Production Co., LLC",1
Dinero Operating,1
"Dick Lindsay Oil Co., Inc.",1
"Dexxon, Inc.",1
"Delta CO2, LLC",1
Davis Southern Operating Co,1
"Davidson Energy, Inc.",1
"Dash Operating, LLC",1
"Dallas Production, Inc",1
"Dallas Petroleum Group, LLC",1
"DAHCO Operating, LLC",1
Cummings Oil Company,1
Crose Oil Company,1
"Crimson Energy Partners III, LLC",1
"Craig Elder Oil and Gas, L.L.C.",1
"Covey Park Operating, LLC",1
Covey Park Gas,1
"Coronado Energy Partners, LLC",1
Cornerstone Natural Resources,1
Corlena Oil Company,1
Copestone Operating LLC,1
Condor Energy Technology LLC,1
Clay Hamilton,1
Civitas North LLC,1
Citrus Energy Corporation,1
Cirque Resources LP,1
Circle 9 Resources LLC,1
"Cinco Oil & Gas, LLC",1
"Century Exploration Houston, LLC",1
"Catena Resources Operating, LLC",1
Castlerock Exploration,1
Cascade Petroleum,1
Carl E. Gungoll Exploration LLC,1
Campbell Oil & Gas. Inc,1
"CPX Energy Operating, LLC",1
CP Exploration,1
"CML Exploration, LLC",1
"CHISHOLM ENERGY OPERATING, LLC",1
"CCRP Operating, Inc.",1
"CBL Resources, LLC",1
"Butler Petroleum, LLC",1
"Butkin Oil Company, LLC",1
"Burleson Petroleum, Inc. ",1
"Burk Royalty Co., LTD.",1
"Bullet Development, LLC",1
Bryan Henderson Co,1
Brown Oil & Gas,1
Bridon Energy LLC,1
Brahman Resource Partners LLC,1
Bowline Energy LLC,1
Borderline Operating Corp,1
Bluescape Resources,1
"Blue Water TPX Operating Co., LLC",1
"Blue Quail , LTD",1
Blue Devil Exploration LLC,1
Blue Cedar Energy,1
"Blakenergy Operating, LLC",1
"BlackWell Exp & Development, LLC",1
BlackRidge Resource Partners,1
Black Mountain STX I LLC,1
"Billy Jack Sharber Operating, LLC",1
"Betro, Inc.",1
"Best Petroleum Explorations, Inc.",1
"Bennett Resources, Inc.",1
Bend Petroleum Corp,1
"Beacon E&P Company, LLC",1
"Barber Oil, LLC",1
Banner Resources LLC,1
"Bainbridge Uinta, LLC",1
BVX OPerating Inc.,1
"BLS Production Co., Inc.",1
"BBL OPERATING COMPANY, LLC",1
"BAM Permian Operating, LLC",1
"B&W Operating, LLC",1
"Axia Energy III, LLC",1
"Avalon Operating, LLC",1
"Augustus Energy Partners II, LLC",1
"Atoka Operating Permian, LLC",1
"Atlantic Operating, Inc.",1
Arrowhead Energy Inc.,1
"Arnold Oil Properties, LLC",1
"Arkland Producing Co., Inc.",1
Ares Energy Ltd,1
Ardmore Production & Exploration Co.,1
"Arcadia Operating, LLC",1
"Appalachian Energy, Inc.",1
Anderson Oil Ltd,1
Amplify Energy Corp,1
American Energy Utica,1
"American Energy - Marcellus, LLC",1
"Ageron Ironroc Energy, LLC",1
"Agave Oil & Gas, LLC",1
"Adventure Operating Company, LLC",1
Accumulate Energy Alaska Inc,1
"Acadia Oil, LLC",1
"AMTEX ENERGY, INC",1
AM Idaho,1
AEXCO Petroleum Inc.,1
"ABARTA Oil & Gas Co., Inc.",1
89 Energy,1
1776 Energy Operators,1
